title,url,discounted_price,original_price
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Frosted Grey,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-frosted-grey-p-19967.html,$27.08,$42.23 
Authentic Vandyvape Requiem RDA - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-gunmetal-p-20050.html,$22.75,$35.73 
Authentic Uwell Aeglos Pod Kit - Gold,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-gold-p-20290.html,$22.87,$40.03 
Authentic Geekvape Aegis Boost Pro Kit - Almighty Blue,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-almighty-blue-p-20329.html,$31.01,$48.78 
Authentic Eleaf iStick Pico Baby 1050mAh Starter Kit - Greenery,https://www.cigabuy.com/authentic-eleaf-istick-pico-baby-1050mah-starter-kit-greenery-p-20037.html,$6.54,$11.91 
Authentic Vandyvape Jackaroo Dual 188W Box Mod - Stripy Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-dual-188w-box-mod-stripy-black-p-20243.html,$48.29,$71.15 
Authentic Dovpo College DNA60 60W TC MOD - Silver,https://www.cigabuy.com/authentic-dovpo-college-dna60-60w-tc-mod-silver-p-20160.html,$106.60,$155.14 
Authentic Lost Vape Gemini Hybrid Pod Mod Kit  - SS Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-gemini-hybrid-pod-mod-kit-ss-carbon-fiber-p-19916.html,$27.08,$63.91 
Cartoon Cat Kids Camera 3.5 inch HD 1080P Children Digital Photo Camera Toy,https://www.cigabuy.com/cartoon-cat-kids-camera-35-inch-hd-1080p-children-digital-photo-camera-toy-p-19605.html,$10.97,$21.39 
Authentic Geekvape Aegis Hero Pod Mod Kit - Black,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-black-p-19995.html,$23.83,$41.15 
10 x Authentic Wotofo nexMESH EXTREME A1 Wire 0.16ohm,https://www.cigabuy.com/10-x-authentic-wotofo-nexmesh-extreme-a1-wire-016ohm-p-16532.html,$3.36,$4.93 
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-gunmetal-p-18330.html,$47.03,$76.57 
Authentic Vaporesso Luxe II 220W TC Mod - Black,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-black-p-19908.html,$49.83,$76.80 
K2 Powerful Bass USB Notebook Stereo Speakers Subwoofer Full Frequency Speaker,https://www.cigabuy.com/k2-powerful-bass-usb-notebook-stereo-speakers-subwoofer-full-frequency-speaker-p-19451.html,$6.93,$48.17 
Authentic Uwell Whirl II 3.5ml Sub-Ohm Tank - Black,https://www.cigabuy.com/authentic-uwell-whirl-ii-35ml-sub-ohm-tank-black-p-20058.html,$17.33,$30.32 
Authentic Geekvape TALO X 24mm BF RDA - Silver,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-silver-p-20205.html,$16.56,$25.86 
